[INFO] [1775501118.398439553] [pi_metrics_publisher]: Pi Metrics | t: 7.557 | CPU: 31.6% | Mem: 12.3% | Temp: 67.7 C
[INFO] [1775501118.448667127] [pi_metrics_publisher]: Pi Metrics | t: 7.607 | CPU: 52.6% | Mem: 12.3% | Temp: 69.1 C
[INFO] [1775501118.498440571] [pi_metrics_publisher]: Pi Metrics | t: 7.657 | CPU: 57.9% | Mem: 12.3% | Temp: 68.7 C
[INFO] [1775501118.549009423] [pi_metrics_publisher]: Pi Metrics | t: 7.707 | CPU: 68.4% | Mem: 12.4% | Temp: 68.2 C
[INFO] [1775501118.601464423] [pi_metrics_publisher]: Pi Metrics | t: 7.760 | CPU: 86.4% | Mem: 12.4% | Temp: 69.1 C
[INFO] [1775501118.648429386] [pi_metrics_publisher]: Pi Metrics | t: 7.807 | CPU: 47.4% | Mem: 12.4% | Temp: 69.6 C
[INFO] [1775501118.698468571] [pi_metrics_publisher]: Pi Metrics | t: 7.857 | CPU: 35.0% | Mem: 12.4% | Temp: 68.7 C
[INFO] [1775501118.748446293] [pi_metrics_publisher]: Pi Metrics | t: 7.907 | CPU: 47.1% | Mem: 12.4% | Temp: 69.1 C
[INFO] [1775501118.800007719] [pi_metrics_publisher]: Pi Metrics | t: 7.957 | CPU: 76.2% | Mem: 12.5% | Temp: 68.7 C
[INFO] [1775501118.848509979] [pi_metrics_publisher]: Pi Metrics | t: 8.007 | CPU: 88.9% | Mem: 12.5% | Temp: 69.6 C
[INFO] [1775501118.899419738] [pi_metrics_publisher]: Pi Metrics | t: 8.058 | CPU: 95.0% | Mem: 12.6% | Temp: 69.6 C
[INFO] [1775501118.948562775] [pi_metrics_publisher]: Pi Metrics | t: 8.107 | CPU: 85.7% | Mem: 12.6% | Temp: 69.6 C
[INFO] [1775501118.998577997] [pi_metrics_publisher]: Pi Metrics | t: 8.157 | CPU: 94.7% | Mem: 12.6% | Temp: 69.6 C
[INFO] [1775501119.048466830] [pi_metrics_publisher]: Pi Metrics | t: 8.207 | CPU: 94.4% | Mem: 12.7% | Temp: 69.6 C
