Time: 1147.75 | CPU: 15.7895 | Mem: 50.0238 | Temp: 63.296
Time: 1147.8 | CPU: 47.3684 | Mem: 50.0281 | Temp: 63.296
Time: 1147.85 | CPU: 44.4444 | Mem: 50.0626 | Temp: 63.296
Time: 1147.9 | CPU: 55 | Mem: 50.0785 | Temp: 64.27
Time: 1147.95 | CPU: 41.1765 | Mem: 50.2054 | Temp: 63.296
Time: 1148 | CPU: 50 | Mem: 50.0547 | Temp: 63.783
Time: 1148.05 | CPU: 31.5789 | Mem: 50.0547 | Temp: 63.296
Time: 1148.1 | CPU: 28.5714 | Mem: 50.0547 | Temp: 62.809
Time: 1148.15 | CPU: 10.5263 | Mem: 50.054 | Temp: 62.809
Time: 1148.2 | CPU: 21.0526 | Mem: 50.054 | Temp: 63.296
Time: 1148.25 | CPU: 15.7895 | Mem: 50.054 | Temp: 63.783
Time: 1148.3 | CPU: 23.8095 | Mem: 50.054 | Temp: 63.296
Time: 1148.35 | CPU: 19.0476 | Mem: 50.054 | Temp: 63.296
Time: 1148.4 | CPU: 21.0526 | Mem: 50.054 | Temp: 63.296
Time: 1148.45 | CPU: 20 | Mem: 50.054 | Temp: 62.322
Time: 1148.5 | CPU: 60 | Mem: 50.054 | Temp: 63.296
Time: 1148.55 | CPU: 41.1765 | Mem: 50.0603 | Temp: 63.783
Time: 1148.6 | CPU: 29.4118 | Mem: 50.0603 | Temp: 63.296
Time: 1148.65 | CPU: 36.8421 | Mem: 50.0603 | Temp: 63.296
Time: 1148.7 | CPU: 31.5789 | Mem: 50.0628 | Temp: 63.296
Time: 1148.75 | CPU: 11.7647 | Mem: 50.0628 | Temp: 62.322
Time: 1148.8 | CPU: 26.3158 | Mem: 50.0628 | Temp: 63.296
Time: 1148.85 | CPU: 10.5263 | Mem: 50.0628 | Temp: 62.809
Time: 1148.9 | CPU: 21.0526 | Mem: 50.0628 | Temp: 64.27
Time: 1148.95 | CPU: 20 | Mem: 50.0628 | Temp: 63.296
Time: 1149 | CPU: 20 | Mem: 50.0628 | Temp: 61.835
Time: 1149.05 | CPU: 11.1111 | Mem: 50.0628 | Temp: 62.322
Time: 1149.1 | CPU: 21.0526 | Mem: 50.0628 | Temp: 62.809
Time: 1149.15 | CPU: 15 | Mem: 50.0628 | Temp: 62.809
Time: 1149.2 | CPU: 21.0526 | Mem: 50.0628 | Temp: 62.322
Time: 1149.25 | CPU: 21.0526 | Mem: 50.0628 | Temp: 62.809
