time,cpu,mem,temp
23.056,84.2,17.7,76.0
23.106,60.0,17.7,75.5
23.158,68.8,17.7,75.5
23.208,85.0,17.7,75.5
23.260,94.7,17.8,76.0
23.307,88.2,17.9,75.5
23.356,85.7,17.9,74.5
23.406,70.6,17.9,76.4
23.456,60.0,17.9,75.0
23.508,80.0,18.0,75.0
23.558,100.0,18.3,76.0
23.606,61.9,18.3,74.0
23.656,52.6,18.3,74.5
23.706,22.2,18.3,75.5
23.756,20.0,18.3,73.5
23.806,29.4,18.4,74.0
23.856,31.8,18.4,74.5
23.906,50.0,18.5,75.0
23.956,47.4,18.6,74.5
24.006,31.6,18.6,75.0
24.056,27.8,18.6,73.5
24.106,26.3,18.6,73.5
24.156,36.8,18.6,74.0
24.206,50.0,18.8,74.5
24.256,26.3,18.9,74.0
24.306,42.1,18.9,73.0
24.359,60.0,18.9,74.5
24.406,63.2,19.1,74.0
24.456,70.0,19.3,75.0
24.508,76.2,19.3,75.0
24.560,81.0,19.3,76.0
24.608,77.8,19.4,75.5
24.656,84.2,19.5,74.5
24.706,75.0,19.3,75.5
24.758,65.0,19.3,75.0
24.806,77.8,19.3,75.0
24.856,75.0,19.5,75.0
24.906,61.1,19.6,75.5
24.958,86.4,19.7,76.0
25.006,52.6,19.8,75.0
25.056,52.6,20.0,75.5
25.106,61.9,20.1,75.5
25.156,68.4,20.1,75.0
25.206,68.4,20.2,75.5
25.256,57.1,20.2,74.5
25.306,82.4,20.3,75.5
25.358,66.7,20.3,75.5
25.406,57.9,20.3,76.0
25.456,55.0,20.4,75.5
25.506,52.6,20.4,74.5
25.556,57.9,20.5,76.0
25.606,63.2,20.6,76.0
25.659,65.0,20.6,75.0
25.707,57.9,20.7,75.5
25.756,85.7,20.7,75.5
25.806,100.0,20.7,76.0
25.856,95.5,20.7,75.0
25.906,55.6,20.7,75.0
25.956,61.9,20.8,76.0
26.006,52.9,20.8,75.5
26.056,55.0,20.9,74.5
26.107,73.7,20.9,75.5
26.156,65.0,20.9,75.5
26.206,50.0,20.9,75.5
26.256,52.6,20.9,75.5
26.306,56.2,20.9,76.0
26.356,55.0,20.9,75.0
26.409,70.0,20.9,75.5
26.456,52.6,20.9,76.0
26.506,31.6,20.9,75.0
26.556,63.2,20.9,74.5
26.606,78.9,20.9,75.5
26.656,60.0,20.9,74.5
26.706,52.6,20.9,76.0
26.756,55.0,20.9,76.0
26.806,55.6,20.9,76.0
26.856,47.6,20.9,76.0
26.906,58.8,21.0,75.5
26.957,80.0,21.0,75.5
27.008,85.0,21.0,76.0
27.056,75.0,21.1,76.0
27.106,94.4,21.1,76.0
27.159,100.0,21.1,75.5
27.207,100.0,21.1,75.5
27.259,100.0,21.1,75.5
27.307,88.9,21.2,75.5
27.356,90.0,21.3,76.4
27.407,88.9,21.3,76.0
27.456,61.9,21.3,75.5
27.506,55.6,21.3,74.0
27.557,71.4,21.3,75.5
27.606,77.8,21.3,75.5
27.658,76.2,21.4,74.5
27.707,55.0,21.4,75.0
27.757,66.7,21.4,75.5
27.807,85.0,21.5,75.5
27.856,65.0,21.5,74.0
27.906,63.2,21.5,75.5
27.956,60.0,21.6,75.5
28.006,58.8,21.7,74.0
28.056,20.0,21.7,74.5
28.106,55.6,21.7,75.0
28.156,57.1,21.8,75.0
28.206,78.9,21.8,75.0
28.256,55.0,21.8,75.0
28.306,57.9,21.9,74.0
28.356,61.1,22.0,74.5
28.408,80.0,22.0,76.0
28.457,63.2,22.0,76.0
28.507,88.9,22.1,75.5
28.559,61.9,22.2,75.5
28.608,68.4,22.2,75.5
28.656,66.7,22.2,75.5
28.706,61.1,22.3,74.5
28.757,63.2,22.3,75.5
28.806,63.2,22.3,76.0
28.860,72.7,22.3,75.5
28.908,83.3,22.4,75.5
28.956,75.0,22.4,76.0
29.006,100.0,22.5,76.0
29.056,80.0,22.5,75.0
29.106,68.4,22.6,75.5
29.156,63.2,22.6,74.5
29.207,60.0,22.7,75.0
29.256,63.2,22.8,74.5
29.306,78.9,22.8,76.0
29.356,61.9,22.9,75.5
29.406,55.6,22.9,75.5
29.456,50.0,23.0,76.4
29.506,52.4,23.0,76.0
29.556,52.6,23.0,75.5
29.606,52.6,23.0,75.5
29.656,78.3,23.0,76.0
29.706,88.9,23.0,75.5
29.759,55.0,23.0,75.0
29.806,52.6,23.0,76.0
29.861,77.3,23.0,75.5
29.906,56.2,23.0,75.5
29.957,73.7,23.0,74.5
30.006,64.7,23.1,76.0
30.056,80.0,23.1,75.5
30.106,78.9,23.1,75.0
30.156,57.1,23.1,74.5
30.206,38.9,23.1,75.5
30.256,52.6,23.1,75.5
30.306,75.0,23.1,75.5
30.356,100.0,23.1,76.0
30.406,85.0,23.1,75.0
30.456,95.0,23.1,76.0
30.506,100.0,23.1,76.4
30.556,94.7,23.1,76.0
30.606,90.0,23.1,75.5
30.656,90.5,23.1,76.0
30.706,89.5,23.2,76.0
30.763,90.9,23.2,76.9
30.806,100.0,23.2,76.0
30.856,90.5,23.2,75.5
30.906,100.0,23.2,76.4
30.956,100.0,23.2,76.4
31.006,89.5,23.2,76.4
31.056,90.5,23.2,75.5
31.107,73.7,23.2,75.5
31.163,91.7,23.2,75.5
31.206,100.0,23.3,75.5
31.256,100.0,23.3,76.4
31.306,94.4,23.3,76.4
31.357,95.2,23.3,76.9
31.409,95.5,23.3,76.9
31.458,100.0,23.4,76.0
31.507,100.0,23.4,76.9
31.556,95.0,23.4,76.4
31.607,75.0,23.4,76.9
31.656,80.0,23.4,76.0
31.706,70.6,23.4,76.4
31.759,85.0,23.4,76.4
31.806,55.0,23.4,76.0
31.856,50.0,23.4,76.4
31.906,61.1,23.4,76.9
31.956,55.0,23.4,75.5
32.006,42.1,23.4,76.9
32.056,50.0,23.4,75.5
32.106,68.4,23.4,76.0
32.159,84.2,23.4,76.4
32.206,90.0,23.4,76.4
32.260,95.5,23.4,76.9
32.307,100.0,23.5,76.4
32.357,95.0,23.5,76.0
32.406,84.2,23.5,76.4
32.456,90.0,23.5,75.5
32.507,89.5,23.5,76.0
32.557,84.2,23.6,76.9
32.606,100.0,23.5,76.9
32.656,100.0,23.5,76.0
32.706,94.4,23.5,77.4
32.757,100.0,23.5,77.4
32.806,100.0,23.5,77.4
32.856,100.0,23.5,76.4
32.906,100.0,23.5,76.9
32.956,100.0,23.5,76.4
33.006,100.0,23.5,76.4
33.056,100.0,23.6,77.4
33.106,94.7,23.6,77.4
33.156,100.0,23.6,76.9
33.206,100.0,23.6,76.4
33.256,95.5,23.6,76.0
33.306,100.0,23.6,76.9
33.356,95.2,23.7,77.9
33.406,94.4,23.7,77.4
33.456,100.0,23.7,76.9
33.506,95.0,23.7,77.4
33.556,100.0,23.7,77.9
33.606,100.0,23.7,78.4
33.656,95.2,23.7,76.4
33.707,94.4,23.7,76.9
33.762,100.0,23.8,77.9
33.808,100.0,23.8,77.9
33.860,95.5,23.8,76.9
33.908,100.0,23.8,77.4
33.960,100.0,23.8,76.0
34.006,94.4,23.8,76.4
34.060,100.0,23.8,76.9
34.108,90.0,23.8,76.4
34.156,89.5,23.8,76.4
34.208,88.9,23.9,77.4
34.256,78.9,23.9,77.4
34.307,84.2,23.9,77.4
34.356,80.0,24.0,77.4
34.406,75.0,24.0,76.9
34.456,85.0,24.0,76.9
34.508,85.7,24.1,76.4
34.556,78.9,24.1,77.9
34.608,85.0,24.2,77.4
34.657,77.8,24.2,77.4
34.706,88.9,24.1,77.9
34.756,63.2,24.1,77.9
34.806,57.9,24.1,76.4
34.857,77.3,24.1,76.9
34.906,66.7,24.1,76.4
34.957,81.8,24.1,76.0
35.010,89.5,24.1,77.4
35.057,78.9,24.1,76.9
35.106,89.5,24.1,76.9
35.160,95.2,24.1,77.4
35.209,94.4,24.1,77.4
35.256,66.7,24.1,76.9
35.308,85.0,24.2,76.9
35.357,78.9,24.1,77.9
35.406,52.6,24.2,76.9
35.456,60.0,24.2,77.4
35.506,50.0,24.2,76.9
35.556,71.4,24.2,77.9
35.606,57.9,24.2,77.9
35.656,55.0,24.2,77.4
35.706,66.7,24.2,77.9
35.756,50.0,24.2,77.4
35.806,84.2,24.2,78.4
35.856,72.2,24.2,76.4
35.906,85.0,24.2,76.0
35.956,76.2,24.2,77.4
36.006,72.2,24.2,77.9
36.056,66.7,24.2,77.4
36.106,29.4,24.2,75.5
36.158,40.0,24.3,76.4
36.206,22.2,24.3,76.0
36.256,20.0,24.3,76.4
36.306,15.8,24.3,75.0
36.356,36.8,24.4,76.0
36.406,52.6,24.4,75.5
36.456,57.1,24.4,76.0
36.506,50.0,24.4,76.4
36.556,57.9,24.4,76.9
36.606,57.9,24.4,76.4
36.656,75.0,24.4,76.9
36.706,73.7,24.4,76.9
36.756,66.7,24.4,76.0
36.806,72.2,24.4,76.9
36.856,63.2,24.4,76.9
36.908,78.9,24.5,76.9
36.956,83.3,24.5,76.4
37.006,75.0,24.7,77.4
37.057,80.0,24.9,77.9
37.106,73.7,24.9,76.4
37.156,90.5,24.9,77.4
37.208,100.0,24.9,77.9
37.259,100.0,24.9,76.4
37.306,100.0,25.0,77.4
37.358,100.0,25.0,76.9
37.427,100.0,25.1,77.9
37.456,100.0,25.1,77.4
37.508,100.0,25.1,77.9
37.556,100.0,25.1,77.9
37.606,100.0,25.1,77.4
37.656,100.0,25.1,77.4
37.706,100.0,25.1,77.4
37.756,95.2,25.1,77.4
37.806,100.0,25.1,77.4
37.856,100.0,25.1,78.4
37.906,75.0,25.0,76.4
37.956,81.0,25.0,78.4
38.006,77.8,25.0,77.4
38.056,81.0,25.0,77.4
38.107,85.7,25.0,76.9
38.156,100.0,25.0,77.4
38.206,84.2,25.0,77.4
38.256,76.2,25.0,77.4
38.306,63.2,25.1,77.4
38.356,60.0,25.1,77.4
38.406,80.0,25.1,76.4
38.456,100.0,25.1,76.9
38.511,100.0,25.1,78.4
38.559,100.0,25.1,77.9
38.608,100.0,25.1,77.4
38.656,78.9,25.1,77.4
38.706,61.1,25.1,77.4
38.756,57.1,25.1,77.9
38.806,62.5,25.1,76.9
38.856,66.7,25.1,77.4
38.906,83.3,25.1,77.4
38.956,78.9,25.1,76.9
39.006,52.6,25.2,76.9
39.056,55.0,25.2,76.9
39.106,57.9,25.2,76.4
39.156,65.0,25.2,76.9
39.206,63.2,25.2,76.4
39.257,55.0,25.2,76.4
39.306,57.9,25.2,76.9
39.356,55.0,25.2,76.4
39.406,52.6,25.2,75.5
39.456,55.0,25.2,76.9
39.506,57.9,25.3,76.4
39.556,55.0,25.3,76.9
39.606,52.6,25.3,76.0
39.656,80.0,25.3,76.4
39.706,77.8,25.3,76.9
39.756,63.6,25.3,76.4
39.806,57.9,25.3,76.4
39.856,50.0,25.3,76.4
39.906,52.6,25.3,75.5
39.956,57.9,25.3,76.4
40.006,52.6,25.3,76.0
40.056,75.0,25.3,76.9
40.106,83.3,25.3,76.0
40.160,90.9,25.3,75.5
40.206,88.2,25.4,76.9
40.258,70.0,25.4,77.4
40.306,73.7,25.4,77.4
40.356,55.0,25.4,76.0
40.406,57.9,25.4,76.0
40.456,60.0,25.4,75.5
40.506,57.9,25.4,76.0
40.556,61.9,25.5,76.0
40.606,50.0,25.5,76.9
40.656,65.0,25.5,76.9
40.706,27.8,25.5,76.9
40.757,60.0,25.5,76.4
40.806,44.4,25.5,76.4
40.856,35.0,25.5,76.0
40.906,29.4,25.5,76.9
40.956,42.1,25.5,76.0
41.006,50.0,25.5,75.5
41.058,65.0,25.5,76.0
41.106,78.9,25.6,76.0
41.156,60.0,25.6,76.4
41.206,36.8,25.6,76.4
41.256,35.0,25.6,76.0
41.306,27.8,25.6,76.4
41.356,47.4,25.6,75.5
41.406,31.6,25.6,76.4
41.456,26.3,25.6,76.0
41.506,47.1,25.6,76.0
41.556,70.0,25.6,76.0
41.606,72.2,25.6,76.0
41.656,80.0,25.6,76.4
41.706,83.3,25.6,76.4
41.756,84.2,25.6,76.9
41.806,65.0,25.6,76.0
41.856,55.6,25.6,76.0
41.906,57.9,25.6,76.0
41.956,55.6,25.6,76.9
42.006,55.0,25.7,76.4
